,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id,average_watts,weighted_average_watts,max_watts,average_cadence,suffer_score,average_speed,max_speed,average_temp
91,6142026802,Lunch Ride,2021-10-20T11:46:35Z,Ride,55776.9,5681,5765,65.0,"[38.90855404548347, -77.08410646766424]",2021-10-20-154634-ELEMNT BOLT 7531-275-0.fit,200.2,228,713,78.8,239.0,9.818,19.68,22
92,6142050974,Run,2021-10-19T18:25:55Z,Run,3621.4,1619,1665,41.0,"[38.908149, -77.084245]",2021-10-19-221613-ELEMNT BOLT 7531-274-0.fit,0,0,0,0,0,2.237,4.78,23
93,6133594168,Afternoon Ride,2021-10-18T17:11:18Z,Ride,42775.1,4901,5204,71.0,"[38.908006, -77.08395]",2021-10-18-211007-ELEMNT BOLT 7531-273-0.fit,201.0,214,479,79.5,154.0,8.728,14.1,16
94,6166704034,Morning Activity,2021-10-11T06:55:53Z,WeightTraining,0.0,2401,2401,0,[],garmin_push_7716680855,0,0,0,0,10.0,0.0,0.0,0
95,6093924679,Missed miles,2021-10-10T13:27:22Z,Ride,8046.7,1059,1059,0,[],,0,0,0,0,0,7.598,0,0
96,6093568165,Morning Ride,2021-10-10T07:32:30Z,Ride,69936.2,7810,11986,602.0,"[38.908547, -77.084201]",2021-10-10-113229-ELEMNT BOLT 7531-272-0.fit,182.6,217,595,76.1,67.0,8.955,18.8,18
97,6079845407,Afternoon Ride,2021-10-07T17:49:53Z,Ride,46756.2,4661,6654,78.0,"[38.908553, -77.084137]",2021-10-07-214953-ELEMNT BOLT 7531-271-0.fit,204.7,226,707,80.9,133.0,10.031,15.5,20
98,6076939818,Morning Ride,2021-10-07T07:04:04Z,Ride,48837.0,5269,5635,63.0,"[38.907901, -77.083815]",2021-10-07-110404-ELEMNT BOLT 7531-270-0.fit,193.8,212,527,83.0,116.0,9.269,12.8,17
99,6071830873,Evening Run,2021-10-05T18:51:01Z,Run,5161.3,1527,1633,19.3,"[38.908146, -77.084338]",garmin_push_7611964084,0,0,0,76.7,44.0,3.38,4.9,0
100,6064438190,Afternoon Ride,2021-10-04T17:09:07Z,Ride,35212.1,3986,4114,79.0,"[38.90802, -77.084026]",2021-10-04-210907-ELEMNT BOLT 7531-269-0.fit,195.5,216,444,81.0,109.0,8.834,13.7,24
101,6052979741,Morning Ride,2021-10-02T07:32:10Z,Ride,99673.9,10623,13281,1036.0,"[38.908163, -77.084221]",2021-10-02-113210-ELEMNT BOLT 7531-268-0.fit,187.3,221,790,80.2,234.0,9.383,17.6,14
102,6049326892,Evening Ride,2021-10-01T18:07:02Z,Ride,19566.8,2592,2791,78.0,"[38.908585, -77.084465]",2021-10-01-220701-ELEMNT BOLT 7531-267-0.fit,183.9,229,583,69.3,31.0,7.549,13.8,18
103,5988273846,Ride Sally Ride Crit,2021-09-19T17:46:33Z,Ride,34869.1,2400,2400,0,[],,0,0,0,0,0,14.529,0,0
104,5987135222,Lunch Ride,2021-09-19T12:50:34Z,Ride,0.0,1,1,0.0,"[38.99025, -77.417519]",2021-09-19-165034-ELEMNT BOLT 7531-266-0.fit,0.0,0,0,0,0,0.0,0.0,0
105,5987161105,Lunch Ride,2021-09-19T11:16:53Z,Ride,10294.8,1273,2199,60.0,"[38.991555, -77.416098]",2021-09-19-151629-ELEMNT BOLT 7531-265-0.fit,164.9,176,626,72.3,15.0,8.087,15.1,28
106,5982618297,Afternoon Ride,2021-09-18T17:31:59Z,Ride,23842.1,3175,3494,68.0,"[38.908799, -77.084361]",2021-09-18-213158-ELEMNT BOLT 7531-264-0.fit,144.7,175,576,72.0,32.0,7.509,12.9,27
107,5965375427,Noon ride,2021-09-15T11:45:25Z,Ride,48325.1,5029,5248,79.0,"[38.90855, -77.084117]",2021-09-15-154525-ELEMNT BOLT 7531-263-0.fit,197.2,228,804,84.3,164.0,9.609,15.3,30
108,5961711886,Afternoon Ride,2021-09-14T17:36:44Z,Ride,61394.8,6715,7830,294.0,"[38.908483, -77.084107]",2021-09-14-213644-ELEMNT BOLT 7531-262-0.fit,204.3,224,684,84.0,235.0,9.143,16.6,26
109,5956174035,Evening Ride,2021-09-13T18:17:07Z,Ride,29254.1,3313,3446,60.0,"[38.90789, -77.08384]",2021-09-13-221618-ELEMNT BOLT 7531-261-0.fit,196.4,229,514,79.0,74.0,8.83,14.1,26
110,5942835089,Morning Ride,2021-09-11T10:19:22Z,Ride,3322.5,627,1190,30.0,"[40.124126, -75.417303]",2021-09-11-141922-ELEMNT BOLT 7531-260-0.fit,67.2,91,332,51.3,2.0,5.299,9.6,26
111,5942835450,Morning Ride,2021-09-11T09:30:01Z,Ride,26596.1,2177,2177,159.0,"[40.12556, -75.415615]",2021-09-11-133001-ELEMNT BOLT 7531-259-0.fit,242.4,261,819,90.2,134.0,12.217,15.3,19
112,5942835145,Morning Ride,2021-09-11T08:43:36Z,Ride,10484.1,1461,1859,91.0,"[40.125086, -75.415955]",2021-09-11-124336-ELEMNT BOLT 7531-258-0.fit,163.8,213,680,64.7,29.0,7.176,13.8,17
